

央视频道,#genre#

CCTV-1,http://36.129.204.115:8243/hls/1001/index.m3u8
CCTV-2,http://36.129.204.115:8243/hls/1002/index.m3u8
CCTV-3,http://36.129.204.115:8243/hls/1003/index.m3u8
CCTV-4,http://36.129.204.115:8243/hls/1004/index.m3u8
CCTV-5,http://36.129.204.115:8243/hls/1005/index.m3u8
CCTV-5+,http://36.129.204.115:8243/hls/1018/index.m3u8
CCTV-6,http://36.129.204.115:8243/hls/1006/index.m3u8
CCTV-7,http://36.129.204.115:8243/hls/1007/index.m3u8
CCTV-8,http://36.129.204.115:8243/hls/1008/index.m3u8
CCTV-9,http://36.129.204.115:8243/hls/1009/index.m3u8
CCTV-10,http://36.129.204.115:8243/hls/1010/index.m3u8
CCTV-11,http://36.129.204.115:8243/hls/1011/index.m3u8
CCTV-12,http://36.129.204.115:8243/hls/1012/index.m3u8
CCTV-13,http://36.129.204.115:8243/hls/1013/index.m3u8
CCTV-14,http://36.129.204.115:8243/hls/1014/index.m3u8
CCTV-15,http://36.129.204.115:8243/hls/1015/index.m3u8
CCTV-16,http://36.129.204.115:8243/hls/1016/index.m3u8
CCTV-17,http://36.129.204.115:8243/hls/1017/index.m3u8

央视,#genre#
CCTV-1,http://58.56.171.146:51790/tsfile/live/0001_1.m3u8
CCTV-2,http://58.56.171.146:51790/tsfile/live/0002_1.m3u8
CCTV-3,http://58.56.171.146:51790/tsfile/live/0003_1.m3u8
CCTV-4,http://58.56.171.146:51790/tsfile/live/1001_1.m3u8
CCTV-5,http://58.56.171.146:51790/tsfile/live/0005_1.m3u8
CCTV-5+,http://58.56.171.146:51790/tsfile/live/1002_1.m3u8
CCTV-6,http://58.56.171.146:51790/tsfile/live/0006_1.m3u8
CCTV-7,http://58.56.171.146:51790/tsfile/live/0007_1.m3u8
CCTV-8,http://58.56.171.146:51790/tsfile/live/0008_1.m3u8
CCTV-9,http://58.56.171.146:51790/tsfile/live/1004_1.m3u8
CCTV-10,http://58.56.171.146:51790/tsfile/live/0010_1.m3u8
CCTV-11,http://58.56.171.146:51790/tsfile/live/0011_1.m3u8
CCTV-12,http://58.56.171.146:51790/tsfile/live/0012_1.m3u8
CCTV-13,http://58.56.171.146:51790/tsfile/live/0013_1.m3u8
CCTV-14,http://58.56.171.146:51790/tsfile/live/0014_1.m3u8
CCTV-15,http://58.56.171.146:51790/tsfile/live/0015_1.m3u8
CCTV-16,http://110.177.144.14:9003/hls/17/index.m3u8



央视1,#genre#

CCTV-1,http://218.94.31.154:1111/tsfile/live/0001_1.m3u8
CCTV-2,http://218.94.31.154:1111/tsfile/live/0002_1.m3u8
CCTV-3,http://218.94.31.154:1111/tsfile/live/0003_1.m3u8
CCTV-4,http://218.94.31.154:1111/tsfile/live/0004_1.m3u8
CCTV-5,http://218.94.31.154:1111/tsfile/live/0005_1.m3u8
CCTV-5+,http://218.94.31.154:1111/tsfile/live/0001_5+.m3u8
CCTV-6,http://218.94.31.154:1111/tsfile/live/0006_1.m3u8
CCTV-7,http://218.94.31.154:1111/tsfile/live/0007_1.m3u8
CCTV-8,http://218.94.31.154:1111/tsfile/live/0008_1.m3u8
CCTV-9,http://218.94.31.154:1111/tsfile/live/0009_1.m3u8
CCTV-10,http://218.94.31.154:1111/tsfile/live/0010_1.m3u8
CCTV-11,http://218.94.31.154:1111/tsfile/live/0011_1.m3u8
CCTV-12,http://218.94.31.154:1111/tsfile/live/0012_1.m3u8
CCTV-13,http://218.94.31.154:1111/tsfile/live/0013_1.m3u8
CCTV-14,http://218.94.31.154:1111/tsfile/live/0014_1.m3u8
CCTV-15,http://218.94.31.154:1111/tsfile/live/0015_1.m3u8









卫视,#genre#
广东卫视,http://36.129.204.115:8243/hls/1031/index.m3u8
东方卫视,http://36.129.204.115:8243/hls/1026/index.m3u8
北京卫视,http://36.129.204.115:8243/hls/1020/index.m3u8
江苏卫视,http://36.129.204.115:8243/hls/1024/index.m3u8
浙江卫视,http://36.129.204.115:8243/hls/1023/index.m3u8
湖南卫视,http://36.129.204.115:8243/hls/1022/index.m3u8
深圳卫视,http://36.129.204.115:8243/hls/1049/index.m3u8
广东卫视,http://218.94.31.154:1111/tsfile/live/0125_1.m3u8?key=txiptv
浙江卫视,http://218.94.31.154:1111/tsfile/live/0124_1.m3u8?key=txiptv
湖南卫视,http://218.94.31.154:1111/tsfile/live/0128_1.m3u8?key=txiptv
北京卫视,http://218.94.31.154:1111/tsfile/live/0122_1.m3u8?key=txiptv
东方卫视,http://218.94.31.154:1111/tsfile/live/0107_1.m3u8?key=txiptv



港台,#genre#


凤凰中文,http://s1.an94tv.cfd/aktv/CH-3/AKTV.m3u8
凤凰资讯,http://s1.an94tv.cfd/aktv/CH-4/AKTV.m3u8
凤凰香港,http://s1.an94tv.cfd/aktv/CH-5/AKTV.m3u8
无线新闻,http://erp.giihgtidg.com:8080/live/wxxw01.m3u8 
无线翡翠台,http://erp.giihgtidg.com:8080/live/jade01.m3u8 
无线翡翠台,http://push-rtmp-hs-spe-f5.douyincdn.com/live/76a5bea61a9b95235ecc8e10efa23a1f.flv
无线新闻,http://push-rtmp-hs-spe-f5.douyincdn.com/live/8909061706b522e5620dbfe2b5f7d33e.flv
有线综合,http://push-rtmp-hs-spe-f5.douyincdn.com/live/39ecfe1253b307af2e93faa1cd0ae56b.flv
CHC影迷电影,http://www.520345.xyz:8188/rtp/239.69.1.241:11088
重温经典,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_cwjd.flv


 

广东,#genre#
广东珠江,http://push-rtmp-hs-spe-f5.douyincdn.com/live/96a6703f0ad8736352c2be0e6f5630fb.flv

广东新闻,http://push-rtmp-hs-spe-f5.douyincdn.com/live/guangdong_xw.flv 
广东民生,http://push-rtmp-hs-spe-f5.douyincdn.com/live/guangdong_ms.flv 
广东影视,http://push-rtmp-hs-spe-f5.douyincdn.com/live/guangdong_ys.flv 
广东体育,http://push-rtmp-hs-spe-f5.douyincdn.com/live/5f8b6c18643188e8a1ae8aab6811c7b9.flv



4K,#genre#

